global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
646.7697760658375	n/a	n/a	418311.1432322536	815.8815039690413	n/a	665662.6285187848	n/a	522.7487760637088	n/a	n/a	273266.2828761055	519.7610733541192	1062.3306569283195	n/a	n/a	n/a	n/a	-0.7060740151999999	-0.6117640342	-0.3381447994	-0.17512966	-0.00211151	n/a	n/a	4.4584744801e-06	-6.35738e-07	n/a	n/a	4.0416280464400003e-13	1.72238e-06	n/a	n/a	2.9665928644e-12	0.00011961	n/a	n/a	1.43065521e-08	8.520249999999997e-05	n/a	n/a	7.259466006249996e-09	0.0	n/a	0.0	n/a	0.0	0.0
647.0084995092462	0.2387234434087304	0.05698888243292133	418619.9984372063	809.5315229705818	-6.3499809984595	655341.2866830697	40.32225868079672	524.0028265879309	1.2540505242221798	1.572642717301924	274578.96227214125	521.1374539813262	1061.9290392680812	1.555308	36.670006	0.057017716882	0.0292648	-0.0020610264000000002	0.7741859512999999	-0.47454516609999997	-0.6030850100999999	0.01384	0.01595151	0.00025445067128009995	0.0001915456	-0.00466088	-0.004660244262	2.1717876581503922e-05	2.17238023744e-05	0.00557601	0.00557428762	3.1072682470485266e-05	3.10918875201e-05	-0.000184238	-0.000303848	9.232360710399999e-08	3.394364064399999e-08	-0.000227583	-0.00031278549999999995	9.783476901024996e-08	5.179402188900001e-08	-6.6174399999999985e-24	-6.6174399999999985e-24	4.379051215359999e-47	4.379051215359999e-47	1.0	0.0
647.3976916364624	0.38919212721611984	0.1514705118870084	419123.77113622	813.0321625452286	3.5006395746468115	661021.2973329711	12.254477431583409	523.4724475434657	-0.530379044465235	0.2813019308078557	274023.40333714645	520.5222793439843	1061.6402040977064	1.510156	35.605438	0.0372760248	0.0190938	0.7081350416	-0.1624219171	0.8126899655	0.7782146701	0.0150732	0.0012332000000000005	1.520782240000001e-06	0.00022720135824	0.00367213	0.00833301	6.943905566010001e-05	1.34845387369e-05	-1.77048e-05	-0.0055937148	3.128964526373904e-05	3.1345994304e-10	-0.000337261	-0.00015302300000000002	2.341603852900001e-08	1.13744982121e-07	-0.000516882	-0.000289299	8.369391140099999e-08	2.67167001924e-07	0.0	6.6174399999999985e-24	0.0	4.379051215359999e-47	0.0	1.0
